date,open,high,low,close,volume 
2013-02-08,67.7142,68.4014,66.8928,67.8542,158168416 
2013-02-12,68.5014,68.9114,66.8205,66.8428,151829363 
2013-02-14,66.3599,67.3771,66.2885,66.6556,88809154 
2013-02-19,65.8714,66.1042,64.8356,65.7128,108854046 
2013-02-21,63.7142,64.1671,63.2599,63.7228,111596821 
2013-02-25,64.8356,65.0171,63.2242,63.2571,92899597 
2013-02-27,64.0614,64.6342,62.9499,63.5099,146674682 
2013-03-01,62.5714,62.5971,61.4257,61.4957,137899041 
2013-03-05,60.2114,62.1699,60.1071,61.5919,159298020 
2013-03-07,60.6428,61.7157,60.1514,61.5117,116992841 
2013-03-11,61.3928,62.7157,60.7342,62.5528,118272126 
2013-03-13,61.2071,62.0714,60.7657,61.1928,101369051 
2013-03-15,62.5614,63.4614,62.4642,63.3799,160710606 
2013-03-19,65.6428,65.8528,64.0714,64.9271,131531708 
2013-03-21,64.3171,65.4256,64.2999,64.6756,95493524 
2013-03-25,66.3842,67.1356,65.9685,66.2256,125073165 
2013-03-27,65.2085,65.2571,64.3899,64.5828,81854409 
2013-04-01,63.1285,63.3854,61.1057,61.2728,97294421 
2013-04-03,61.6242,62.4685,61.4728,61.7128,90719482 
2013-04-05,60.6428,60.7071,59.9542,60.4571,95743088 
2013-04-09,60.9085,61.2142,60.3928,60.9971,76615504 
2013-04-11,61.9599,62.5699,61.5999,62.0471,82073628 
2013-04-15,60.9999,61.1271,59.9357,59.9785,79157071 
2013-04-17,60.0385,60.0857,56.8728,57.5428,236138966 
2013-04-19,55.4242,57.0857,55.0142,55.7899,152194413 
2013-04-23,57.7128,58.3401,56.9728,58.0185,160760747 
2013-04-25,58.7464,59.1342,58.1428,58.3399,95984896 
2013-04-29,60.0642,61.9452,59.9999,61.4457,159958876 
2013-05-01,63.4942,63.5614,62.0557,62.7557,126720237 
2013-05-03,64.4728,64.7471,64.1642,64.2828,90319201 
2013-05-07,66.4242,66.5356,64.8142,65.5225,120499960 
2013-05-09,65.6871,66.1428,65.0828,65.2528,99555337 
2013-05-13,64.5014,65.4142,64.4999,64.9628,79220953 
2013-05-15,62.7371,62.9999,60.3371,61.2642,185278968 
2013-05-17,62.7214,62.8699,61.5728,61.8942,106973181 
2013-05-21,62.5928,63.6399,62.0285,62.8085,113921367 
2013-05-23,62.2785,63.7371,62.2557,63.1628,88244695 
2013-05-28,64.2714,64.4442,62.9785,63.0627,96404189 
2013-05-30,63.6642,64.9285,63.5014,64.5114,88379522 
2013-06-03,64.3899,64.6228,63.2114,64.3885,92926932 
2013-06-05,63.6642,64.3885,63.3871,63.5871,72545760 
2013-06-07,62.3571,63.3199,61.8242,63.1158,101120551 
2013-06-11,62.2485,63.2514,61.9028,62.5142,71526560 
2013-06-13,61.7857,62.4485,61.2499,62.2807,71456693 
2013-06-17,61.6342,62.2428,61.4802,61.7142,64818670 
2013-06-19,61.6285,61.6657,60.4285,60.4285,77715057 
2013-06-21,59.7842,59.9999,58.3,59.0714,120286768 
2013-06-25,57.9571,58.2557,56.9757,57.5185,78534687 
2013-06-27,57.0357,57.3414,56.2199,56.2542,84297955 
2013-07-01,57.5271,58.8957,57.3171,58.4599,97743408 
2013-07-03,60.1228,60.4257,59.6357,60.1142,60232158 
2013-07-08,60.0157,60.1428,58.6642,59.2928,74521398 
2013-07-10,59.9428,60.6857,59.7499,60.1042,70107226 
2013-07-12,61.0928,61.3985,60.4871,60.9299,69882694 
2013-07-16,60.9314,61.5299,60.5957,61.4564,54033805 
2013-07-18,61.9114,62.1242,61.5157,61.6797,54696012 
2013-07-22,61.3514,61.3928,60.7811,60.9014,51946202 
2013-07-24,62.7042,63.5128,62.1799,62.9299,147978789 
2013-07-26,62.1857,63.0057,62.0485,62.9985,50031170 
2013-07-30,64.2799,65.3071,64.1757,64.7599,77257432 
2013-08-01,65.1075,65.2571,64.7514,65.2394,51461179 
2013-08-05,66.3842,67.2385,66.0214,67.0642,79589930 
2013-08-07,66.2571,66.7142,65.9671,66.4256,74663176 
2013-08-09,65.5199,65.7799,64.8071,64.9214,66772986 
2013-08-13,67.2771,70.6656,66.8642,69.9385,219634975 
2013-08-15,70.9171,71.7712,69.869,71.1299,122441893 
2013-08-19,72.0485,73.3914,71.9999,72.5342,127478547 
2013-08-21,71.9414,72.4499,71.5999,71.7656,83809726 
2013-08-23,71.8956,71.9071,71.3356,71.5742,55587686 
2013-08-27,71.1428,71.7871,69.4714,69.7985,105930335 
2013-08-29,70.2356,70.9285,70.1614,70.2428,59807748 
2013-09-03,70.4428,71.5142,69.6214,69.7971,83000148 
2013-09-05,71.4642,71.5256,70.5199,70.7528,58913211 
2013-09-09,72.1428,72.5599,71.9256,72.3099,84887432 
2013-09-11,66.7157,67.6699,66.4014,66.8156,224250866 
2013-09-13,67.0485,67.4041,66.3856,66.4142,74578903 
2013-09-17,63.9942,65.6728,63.9285,65.0456,99756489 
2013-09-19,67.2428,67.9756,67.0356,67.4714,100918377 
2013-09-23,70.8714,70.9871,68.9428,70.0914,190021706 
2013-09-25,69.8856,69.9485,68.7757,68.7899,79110192 
2013-09-27,69.1114,69.2385,68.6742,68.9642,56816676 
2013-10-01,68.3499,69.8771,68.3401,69.7085,88255013 
2013-10-03,70.0728,70.3356,68.6769,69.0585,80629248 
2013-10-07,69.5085,70.3785,69.3356,69.6785,77919884 
2013-10-09,69.2342,69.6842,68.3256,69.5125,75311488 
2013-10-11,69.5699,70.5485,69.3085,70.4016,66934938 
2013-10-15,71.0721,71.7142,70.7885,71.2399,80018603 
2013-10-17,71.4256,72.1114,71.3828,72.0714,63398335 
2013-10-21,73.1099,74.8999,73.0742,74.4802,99526945 
2013-10-23,74.1428,75.0956,74.1428,74.9942,78431122 
2013-10-25,75.9021,76.1756,75.0156,75.1368,84448133 
2013-10-29,76.6099,77.0356,73.5056,73.8111,158952115 
2013-10-31,74.9999,75.3556,74.4671,74.6716,68923785 
2013-11-04,74.4428,75.2599,74.1156,75.2499,61157033 
2013-11-06,74.8785,74.9799,74.0285,74.4171,55844152 
2013-11-08,73.5114,74.4471,73.2271,74.3656,69829543 
2013-11-12,73.9528,74.8456,73.8571,74.2871,51114651 
2013-11-14,74.6871,75.6114,74.5528,75.4514,70605087 
2013-11-18,74.9985,75.3128,74.0285,74.0898,61236224 
2013-11-20,74.1756,74.3456,73.4756,73.5714,48545798 
2013-11-22,74.2171,74.5942,74.0756,74.2571,55931232 
2013-11-26,74.8742,76.5914,74.8571,76.1999,100345728 
2013-11-29,78.4971,79.7613,78.2585,79.4385,79532215 
2013-12-03,79.7571,80.9113,79.6685,80.9031,112741734 
2013-12-05,81.8071,82.1622,80.9156,81.1286,111895315 
2013-12-09,80.1285,81.3685,80.1285,80.9185,80123533 
2013-12-11,80.9999,81.5671,79.9556,80.1942,89929693 
2013-12-13,80.4071,80.4113,79.0956,79.2042,83205283 
2013-12-17,79.4013,79.9199,79.0535,79.2842,57475649 
